"tree_name","weight"
"aln_segment_132237_to_142408.treefile",0.26024
"aln_segment_111893_to_122064.treefile",0.17885
"aln_segment_122065_to_132236.treefile",0.12364
"aln_segment_40689_to_50860.treefile",0.07515
"aln_segment_50861_to_61032.treefile",0.06122
"aln_segment_1_to_10172.treefile",0.04653
"aln_segment_81377_to_91548.treefile",0.04363
"aln_segment_101721_to_111892.treefile",0.04049
"aln_segment_20345_to_30516.treefile",0.04039
"aln_segment_142409_to_142412.treefile",0.03934
"aln_segment_10173_to_20344.treefile",0.03409
"aln_segment_71205_to_81376.treefile",0.02636
"aln_segment_61033_to_71204.treefile",0.0215
"aln_segment_30517_to_40688.treefile",0.00844
"aln_segment_91549_to_101720.treefile",0.00015
